Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,3.5
2006,3
2007,3
2008,2.5
2009,3
2010,3
2011,3
2012,2.5
2013,2.5
2014,2
2015,2.5
2016,2
2017,2.5
2018,3
2019,3
2020,..
2021,..
2022,..
2023,..
2024,..
2025,..
